ax,ay,az
-0.0172729,-0.312683,-0.927795
-0.0198364,-0.312378,-0.928467
-0.0178223,-0.313721,-0.92926
-0.0180664,-0.315186,-0.929321
-0.0178833,-0.314575,-0.927612
-0.0223999,-0.313721,-0.930176
-0.0184326,-0.31488,-0.929993
-0.0174561,-0.314636,-0.928467
-0.0186768,-0.31366,-0.92981
-0.0187378,-0.313721,-0.929443
-0.0186768,-0.312744,-0.928833
-0.0180664,-0.313232,-0.927429
-0.0181274,-0.317627,-0.92926
-0.0196533,-0.313904,-0.929199
-0.0196533,-0.315369,-0.927734
-0.0168457,-0.315552,-0.930298
-0.0165405,-0.31427,-0.927856
-0.0198364,-0.31665,-0.929565
-0.0178223,-0.315613,-0.930298
-0.0184326,-0.312012,-0.929077
-0.0181274,-0.327698,-0.929321
-0.0183105,-0.31366,-0.926758
-0.0180054,-0.31366,-0.929077
-0.0177002,-0.314453,-0.926941
-0.0202637,-0.315613,-0.929321
-0.0183716,-0.31488,-0.925415
-0.0193481,-0.314575,-0.929382
-0.0174561,-0.313843,-0.926758
-0.019043,-0.3125,-0.927856
-0.0177612,-0.314758,-0.929077
-0.0167236,-0.31427,-0.926514
-0.0178223,-0.315613,-0.927063
-0.0172729,-0.356995,-0.913879
-0.0174561,-0.355835,-0.912964
-0.020874,-0.356628,-0.91156
-0.0170288,-0.355042,-0.913574
-0.0177002,-0.355896,-0.915283
-0.0177002,-0.357544,-0.914734
-0.0166626,-0.357239,-0.915161
-0.0180054,-0.355957,-0.91449
-0.019104,-0.354553,-0.913452
-0.0170898,-0.356445,-0.91394
-0.0179443,-0.356079,-0.912537
-0.0172119,-0.356689,-0.913757
-0.0174561,-0.354858,-0.91449
-0.0194702,-0.355225,-0.915039
-0.0182495,-0.357239,-0.912598
-0.019043,-0.357178,-0.911804
-0.0189209,-0.355469,-0.913574
-0.0175171,-0.35437,-0.912048
-0.0174561,-0.356018,-0.913818
-0.0164795,-0.355286,-0.914185
-0.0180054,-0.356201,-0.913147
-0.019165,-0.357056,-0.91449
-0.0198975,-0.354065,-0.912903
-0.0172729,-0.355713,-0.916016
-0.017395,-0.357361,-0.913025
-0.0180054,-0.354431,-0.912292
-0.0184326,-0.354675,-0.913696
-0.020752,-0.355957,-0.913818
-0.0310059,-0.359192,-0.914185
-0.000244141,-0.354858,-0.913086
-0.0203857,-0.356384,-0.914673
-0.0192871,-0.35321,-0.914429
-0.0172729,-0.356079,-0.914246
-0.0169067,-0.356323,-0.915039
-0.0178223,-0.356567,-0.913574
-0.0189209,-0.354492,-0.915161
-0.0187378,-0.354492,-0.913879
-0.0310059,-0.355774,-0.912964
-0.017334,-0.357239,-0.913269
-0.0168457,-0.356934,-0.914368
-0.0203247,-0.354614,-0.916626
-0.0171509,-0.356201,-0.915039
-0.0183105,-0.356262,-0.915039
-0.0166016,-0.357361,-0.911865
